siteID,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,SLOPE_PCT,ASPECT_DEGREES,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,RH_BASIN,RH_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,RIP100_DEV,RIP100_FOREST,RIP100_PLANT,RIP100_11,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,GEOL_REEDBUSH_DOM_PCT
s1326,45.4,121,2,39,21.7,8,0.364,1,109.4,121.75,126.1,15.61,16.2,22.45,0.355,23.1,9.52,0.213,10,67,67,871.2,2.8,0.065,11.06,8.88,11.21,8.03,10.25,10.25,12.96,12.25,12.51,8.27,7.73,8.36,5.49,6.75,10.86,15.79,20.3,24.35,26.23,25.56,22.44,16.47,11.27,6.6,0.82,1.82,39.4,13.49,423.1,383.6,48.9,57.6,61.2,41.8,27.8,18.9,14.7,12.5,18.3,16,18.9,27.2,363.7,9.55,21.34,43.89,1.24,5.37,20.17,23.37,2.87,0.12,4.33,1.48,0.51,3.63,59.54,22.78,20.87,56.35,0.18,242.72,85.1
s1347,197.4,237,162,196,13.2,168,0.473,3.5,212.3,119.67,119.51,14.54,14.5,21.31,0.089,21.5,8.41,0.053,8.5,68,68,827.3,5,0.038,10.91,9.05,11.31,8.39,10.93,10.44,11,10.59,11.18,9.19,8.44,8.24,3.88,5.29,9.63,14.76,19.39,23.49,25.44,24.7,21.31,15.26,9.91,5.15,0.92,1.21,30.5,12.17,528.6,360,52.6,63.6,68.8,49.6,34.5,23.1,15,11,12,13.6,23.2,32.6,399.8,4.47,72.94,17.09,0.17,3.18,75.75,13.72,0.2,0.14,1.38,1.4,0.48,4.82,57.3,35.19,41.16,23.65,0.34,222.22,100
s1354,175.3,241,135,174,16,138,0.38,3.4,138.6,120.65,120.93,14.48,14.4,21.53,0.091,21.7,8.55,0.054,8.6,67.6,67,820.6,5,0.032,11.06,9.15,11.38,8.3,11.04,10.45,10.6,10.92,11.43,9.32,8.8,8.24,4.19,5.53,9.85,14.92,19.55,23.67,25.6,24.88,21.57,15.48,10.13,5.38,0.78,1.15,29.9,11.95,710.2,360,53,64.6,69,50.6,35,23.7,15,11,12.6,13.8,24,33,405.2,5.26,70.13,19.37,0.44,3.92,72.87,17.21,1.68,0.14,1.37,1.4,0.45,4.97,57.06,36.05,40.46,23.49,0.34,224.91,67.4
s1356,108.1,152,74,107,15.2,74,0.437,2.5,260.8,118.92,119.2,15.09,15,21.74,0.115,22,8.92,0.053,9,68.5,68,846.7,4,0.046,10.77,9.23,11.18,7.76,10.81,10.37,11.23,11.19,11.34,9.11,7.74,8.17,4.7,6.01,10.24,15.14,19.69,23.81,25.77,25.06,21.87,15.69,10.55,5.88,0.91,1.58,26,13.39,519.5,360,49.3,60,62.2,43.2,29.9,20.2,14.8,10.8,12.8,12.8,19.1,27.3,362.3,32.65,43.2,11.08,0.24,24.2,44.94,5.17,0.5,0.14,1.29,1.42,0.52,2.34,56.82,36.32,40.38,23.3,0.27,239.06,100
s1568,87.3,164,41,84,21.3,42,0.376,3.3,218.2,120.99,121.29,17.13,17.8,23.85,0.224,24.3,10.68,0.182,11.1,69.8,70,939.4,1,0.046,11.91,9.34,11.97,7.68,8.48,11.61,12.92,12.5,10.11,7.93,7.83,8.7,7.03,8.63,12.58,17.26,21.64,25.32,27,26.33,23.39,17.55,12.41,8,0.89,1.2,55.9,12.58,85.5,473.8,42.3,49.3,58.4,40.1,24.1,17.5,14.2,11,8.2,10.5,12.4,20.2,308.1,55.01,27.75,1.98,2.31,39.01,30.88,0.57,8.49,0.08,7.33,1.54,0.47,4.6,60,14.08,10.07,75.84,0.12,262.42,100
s1573,159.7,194,105,162,20.8,105,0.615,3.8,147.2,123.54,123.3,16.85,17.2,23.58,0.145,24,10.17,0.022,10.2,68.9,69,919.5,1,0.029,12.81,10.4,12.32,8,8.46,12.07,12.01,11.81,10.33,8.3,8,9.04,6.64,8.23,12.24,16.79,21.24,24.99,26.7,26.05,23.07,17.19,11.99,7.61,0.79,1.1,61.7,11.64,54.4,391,53.4,64.9,73.4,52.3,30,22,15,13.2,10,13.5,16.3,27,391,5.27,53.77,12.68,0.98,1.89,57.27,2.51,3.64,0.09,5.21,1.57,0.57,5.1,60,18.27,15.09,66.64,0.12,258.68,100
s1581,50.4,58,37,51,3.7,38,0.636,0.1,111.1,122.6,123.05,17.59,17.7,24.43,0.039,24.5,11.28,0.036,11.4,69,69,949.9,0,0.083,11.68,9.24,10.78,7.22,9.33,13.02,13.02,14.1,10.85,7.74,6.89,8.73,7.86,9.62,13.56,17.89,22.04,25.45,27.15,26.62,23.79,18.16,13.23,8.93,0.68,1.11,67.3,14.18,540.6,366,39.9,48.9,53.7,36.3,24.6,18,14,15,11,14,13,19.4,307.8,5.45,27.62,38.37,0.01,5.86,24.1,28.35,0,0.12,2.96,1.46,0.63,2.01,60,23.52,21.47,55,0.17,278.95,100
s1582,76.9,206,1,70,46.9,17,0.37,1.3,134.8,123.98,130.53,17.59,17.8,24.29,0.351,24.6,11.03,0.455,11.6,69.1,70,951.3,0.5,0.073,11.79,9.63,11.25,7.57,9.04,13.22,12.98,13.76,10.84,7.87,7.13,8.91,7.64,9.31,13.29,17.66,21.9,25.39,27.06,26.48,23.64,17.98,12.94,8.66,0.62,2.01,69.8,12.92,337.4,374.9,43.6,53.1,58.9,40.5,25.8,19.4,15.5,14.8,11.6,14.1,14.2,22.3,334.2,6.12,29.7,23.97,0.73,3.01,21.35,11.9,2.84,0.11,4.77,1.51,0.64,3.52,60,20.03,17.2,62.77,0.15,275.48,80.4
s1585,757.4,1474,365,748,201.3,366,0.354,20.1,149.5,194.4,159.07,12.55,14,19.52,1.213,21.5,6.71,0.647,8,71.1,69,705.5,5.8,0.04,18.6,15.4,19.71,14.17,17.8,15.24,15.26,16.33,15.61,13.13,16.87,16.29,3.5,4.75,8.48,13,17.21,20.78,22.51,21.94,18.98,13.41,8.35,4.37,0.91,1.95,66.7,10.89,20.6,1138.9,124.2,133.7,148.6,122,95.2,73.4,57.3,55.1,52.8,64.6,87.1,111.4,1125.3,3.67,93.12,1.87,0.08,5.62,89.38,3.45,0.32,0.13,2.66,1.4,0.68,5.84,46.79,20.33,35.86,43.8,0.22,363.14,87.8
s1640,283.5,326,238,285,20.1,241,0.517,3.9,89.4,130.35,130.06,16.19,16.2,22.45,0.167,22.6,10.42,0.046,10.4,68,68,888.1,2,0.067,13.31,12.11,14.1,9.73,10.47,9.56,13.01,9.82,9.86,8.05,10.32,10.03,5.92,7.61,11.65,16.22,20.69,24.51,26.09,25.62,22.57,16.78,11.33,6.95,0.47,1.21,45.8,11.83,232,417.8,62.6,76.6,86.5,64,40.8,25.4,18.5,12,9.3,8.3,19.8,35.3,459.1,78.54,19.83,0.29,0.13,52.86,38.6,1.1,0.76,0.13,1.66,1.39,0.27,3.22,25.74,35.88,28.39,35.72,0.25,290.56,100
s1641,290.1,323,237,294,18.4,237,0.617,4.2,159,131.82,130.36,16.02,16.1,22.33,0.138,22.8,10.27,0.081,10.4,68,68,878.6,2,0.072,13.63,12.25,14.29,10.04,10.57,9.85,12.87,9.95,9.78,8.16,10.31,10.2,5.72,7.43,11.5,16.1,20.55,24.39,25.99,25.52,22.47,16.66,11.22,6.8,0.31,1.49,46.1,12.07,177,421.3,66.5,79.9,88.7,65.7,40.9,25.8,17.8,12,9.8,8.8,21.1,37.7,474.8,86.35,11.81,1.13,0.11,62.06,32.95,2.28,0,0.13,1.63,1.39,0.28,3.31,29.94,36.25,29.6,34.15,0.25,290.99,100
s1643,244.8,320,194,243,21.8,200,0.404,3.7,206.5,128.81,128.07,15.98,16.1,22.83,0.206,23.2,10.23,0.061,10.3,68,68,873.4,2,0.071,13.3,12.07,13.98,9.7,9.99,9.82,12.07,10.3,9.32,8.1,9.9,10.3,6.06,7.74,11.86,16.32,20.83,24.6,26.2,25.67,22.71,16.86,11.48,7.11,0.61,1.27,49.3,12.14,145,416,62.8,75.6,85.6,61.6,39,24.5,18.1,11.5,9,8.9,17.5,34.7,448.7,33.77,48.68,8.57,0.97,19.95,57.66,5.15,0.5,0.13,2.27,1.39,0.37,5.47,54.12,29.46,30.15,40.38,0.25,281.91,73.8
s1646,309.4,342,271,311,12.6,271,0.541,3.5,238.3,135.62,135.6,15.31,15.4,21.88,0.091,22.1,9.17,0.095,9.5,68,68,840,3,0.071,14.08,12.31,14.72,10.54,10.92,10.08,11.63,10.71,10.35,9.18,10.27,10.82,5.14,6.83,10.94,15.56,19.92,23.79,25.51,25.05,21.93,16.12,10.78,6.37,0.64,1.21,50.6,11.83,152.6,416,75.7,85.6,95.2,72.2,46.3,28.4,19.9,12.9,10.4,11,23.4,44.7,526,80.95,16.56,0.77,0.14,62.49,35.51,0.17,0,0.14,1.72,1.38,0.28,5.8,58.48,34.82,29.98,35.2,0.26,283.99,96.5
s1647,299.1,366,165,298,20.7,250,0.667,3.9,186.3,136.72,134.47,15.21,15.6,21.89,0.182,22.4,9.22,0.215,9.8,67.8,68,835.8,3.1,0.07,14.19,12.42,14.83,10.64,10.94,10.17,11.79,10.81,10.6,9.13,10.28,10.9,5.12,6.81,10.96,15.54,19.92,23.81,25.54,25.07,21.96,16.11,10.77,6.36,0.67,1.51,50.4,12.45,134.3,417.5,76.2,86.6,95.6,72.7,46.5,28.5,19.9,12.7,10.4,10.7,23.6,45.2,528.5,74.87,19.49,1.42,0.81,52.04,32.67,1.64,2.6,0.13,1.86,1.38,0.3,5.29,51.87,33.71,29.83,36.47,0.26,286.06,93
s1648,295.5,366,165,295,22.5,224,0.649,4,182.6,136.26,131.68,15.27,15.8,21.95,0.237,22.7,9.3,0.293,10.2,67.8,68,838.6,3.1,0.07,14.13,12.4,14.77,10.59,10.89,10.15,11.82,10.76,10.51,9.07,10.27,10.85,5.18,6.88,11.02,15.6,19.99,23.87,25.59,25.12,22.01,16.16,10.82,6.41,0.67,1.77,50.3,12.46,134.1,417.1,75.3,85.8,94.9,72,46,28.2,19.7,12.5,10.3,10.6,23.3,44.4,523,72.69,21.82,1.55,0.78,50.08,35.88,1.67,2.45,0.13,1.95,1.38,0.32,5.21,50.77,32.91,29.81,37.28,0.26,285.74,88.2
s1649,282.6,361,225,284,22,231,0.423,3.8,175.6,132.57,131.74,15.6,15.7,22.28,0.199,22.7,9.75,0.208,10.1,68,68,854.7,2.5,0.069,13.69,12.18,14.35,10.21,10.56,9.99,11.85,10.52,9.9,8.78,10.12,10.48,5.45,7.14,11.28,15.85,20.29,24.13,25.81,25.32,22.24,16.4,11.03,6.62,0.38,1.26,50,12.09,100.4,416,68.5,80,90,66.5,42.4,26.6,18.5,12,10,10,20.4,39,483.8,59.67,33.42,4.47,0.76,38.77,54.73,0.31,3.25,0.12,2.85,1.4,0.48,5.31,50.56,24.61,29.65,45.74,0.25,282.99,100
s1651,283.6,511,165,286,29.7,194,0.343,4.4,162,134.42,127.97,15.43,16,22.17,0.384,23.1,9.57,0.434,10.3,67.9,68,846.5,2.8,0.07,13.92,12.31,14.58,10.38,10.69,10.08,11.89,10.64,10.21,8.86,10.19,10.69,5.39,7.08,11.22,15.77,20.19,24.05,25.74,25.25,22.18,16.33,10.97,6.57,0.64,1.89,50.2,12.32,130.2,416.7,72,83.1,92.4,69.2,44.1,27.3,19.2,12.3,10,10.1,21.9,41.7,503.3,61.26,29.48,2.88,1.34,41.48,41.05,2,4.15,0.13,2.17,1.39,0.36,5.21,50.58,30.59,29.97,39.44,0.25,284.26,66.9
s1652,296.5,339,260,297,15.8,261,0.462,3.2,158.7,133.3,132.17,15.45,15.6,22.12,0.14,22.4,9.5,0.18,9.8,68,68,846.5,2.6,0.069,13.77,12.18,14.43,10.29,10.65,10.01,11.69,10.6,10.04,9,10.13,10.55,5.3,6.98,11.13,15.71,20.12,23.97,25.67,25.18,22.09,16.26,10.9,6.49,0.8,1.21,50.6,12.36,115.9,416,69.8,80.7,91,67.6,43.4,27.2,18.6,12,10,10.1,21,40.6,491.9,59.73,27.19,8.64,1.13,39.84,40.83,6.42,4.58,0.12,2.78,1.4,0.47,5.29,50.6,24.84,29.89,45.27,0.24,281.96,100
s1653,300.2,335,274,300,13.1,276,0.43,2,182.2,132.57,131.8,15.5,15.6,22.13,0.108,22.4,9.51,0.145,9.8,68,68,850.3,2.6,0.068,13.66,12.1,14.34,10.23,10.59,9.97,11.56,10.6,9.97,9.08,10.07,10.48,5.32,7,11.11,15.7,20.09,23.93,25.63,25.14,22.05,16.24,10.9,6.5,0.85,1.14,52.3,11.93,108.9,416,68.1,79.1,89.9,66.1,42.8,26.7,18.2,12,10,10.4,20.7,39.1,483.3,54.51,20.36,14.14,1.19,38.27,32.92,9.41,3.74,0.12,3.08,1.4,0.51,5.4,50.42,23.76,28.72,47.52,0.25,279.86,100
s1655,262,314,201,266,24.6,201,0.54,4.5,185.7,130.95,128.91,15.76,16,22.54,0.236,23.1,9.93,0.186,10.3,68,68,862.6,2,0.066,13.37,12.03,14.14,10.02,10.37,9.92,11.61,10.64,9.67,8.91,9.98,10.32,5.71,7.42,11.53,16.04,20.48,24.27,25.96,25.43,22.39,16.57,11.25,6.87,0.79,1.16,52.6,12.96,140.6,416,64.8,76.4,87.5,63.5,41.1,25.3,18,11.8,9.2,10,19.1,36.5,463.3,19.9,45.12,20.45,0.77,13,53.71,9.88,1.17,0.12,2.74,1.4,0.46,5.28,50.63,25,30.07,44.93,0.24,277.1,100
s1658,313.5,347,268,315,13.6,268,0.576,3.7,116.4,135.17,134.64,15.31,15.4,21.91,0.105,22.2,9.17,0.085,9.4,68,68,839.6,3,0.07,14.03,12.25,14.66,10.47,10.88,10.05,11.5,10.7,10.29,9.27,10.24,10.79,5.16,6.85,10.93,15.56,19.9,23.75,25.48,25.01,21.9,16.1,10.78,6.38,0.69,1.31,53,12.1,174.6,416,73.9,83,93.9,70.9,45,28,19,12.9,10,11.9,22.1,43,513.7,78.7,15.55,2.39,0.79,63.8,26.37,1.43,2.22,0.14,1.65,1.38,0.28,5.84,58.84,35.28,30.01,34.71,0.27,282.08,64
s1659,308.5,366,242,313,23.6,242,0.536,4.4,143.7,135.04,132.3,15.34,15.7,21.95,0.22,22.4,9.19,0.198,9.6,68,68,840.9,2.9,0.07,14.03,12.22,14.65,10.46,10.87,10.04,11.41,10.68,10.29,9.34,10.24,10.8,5.2,6.89,10.96,15.59,19.94,23.79,25.52,25.04,21.92,16.11,10.79,6.41,0.82,1.37,53.9,12.34,148.7,416.4,72.7,81.8,93,70.3,44.6,28,19.2,12.6,10,11.6,22.1,42.3,508.1,56.82,30.42,7.07,0.53,43.15,42.15,4.4,1.58,0.13,1.74,1.38,0.28,5.78,58.37,34.68,29.97,35.36,0.26,281.57,55.9
s1668,186.1,511,60,182,65.5,72,0.28,3.5,148.5,124.19,120.41,16.88,18.2,23.8,0.961,25.4,10.77,0.681,11.8,68.2,68,916.2,1.2,0.074,13.06,11.81,13.59,9.29,9.07,9.67,12.09,9.91,8.87,7.41,9.31,10.12,7.17,8.85,12.82,17.16,21.49,25.19,26.69,26.24,23.45,17.68,12.35,8.16,0.77,1.59,49,12.52,195.5,408.9,53.9,69,79,56.2,34.7,21.1,16,10.2,7.9,7.1,13.3,29.5,397.9,20.67,48.99,13.64,1.4,10.67,52.61,6.48,4.13,0.13,2.47,1.43,0.37,5.25,56.37,30.49,27.38,42.14,0.23,285.33,90.8
s1670,157.3,511,28,141,73.6,30,0.268,3,139.5,123.43,119,17.3,18.3,24.25,1.099,25.7,11.13,0.825,11.9,68.9,70,936.3,0.9,0.067,13.15,11.62,13.29,9.05,8.79,10.17,12.18,10.14,8.95,7.18,9.02,9.9,7.77,9.42,13.31,17.56,21.86,25.46,26.89,26.48,23.78,18.12,12.81,8.7,0.77,1.84,47.8,12.67,226,401.2,49.8,64.9,73.8,52.1,32,19.7,15,9.8,7.5,6.6,12.1,26.2,369.5,16.15,46.66,16.87,1.18,8.4,48.57,7.88,3.62,0.12,2.77,1.46,0.41,4.87,57.38,28.85,25.3,45.84,0.21,298.98,88.5
s1680,322.7,365,286,324,15.6,286,0.465,4,136.5,136.33,135.26,15.27,15.4,21.79,0.125,22,9.02,0.096,9.2,68.2,68,835.2,3.3,0.072,14.24,12.34,14.85,10.54,11.03,10.14,11.38,10.74,10.37,9.47,10.43,11,5.04,6.68,10.74,15.39,19.74,23.6,25.34,24.87,21.73,15.89,10.57,6.21,0.53,1.35,55.6,11.87,111.9,434,73.7,82.3,93.7,71.3,45.9,28.9,19.6,12.6,10.3,11.9,22.9,42.9,516.1,63.39,27.69,3.46,0.25,44.83,35.56,1.29,0.04,0.13,1.86,1.38,0.28,5.7,57.75,33.86,29.91,36.23,0.26,282.8,100
s1789,31.8,63,16,31,7.4,16,0.335,0.4,65.6,128.88,128.43,22.42,22.4,28.93,0.134,28.9,16.27,0.153,16.4,71.4,72,1150.3,0,0.336,6.05,6.35,8.1,5.82,9.92,21.01,18.53,18.77,16.52,7.46,5.69,4.67,16.51,17.44,19.74,22.1,24.81,26.8,27.51,27.66,26.9,24.04,20.27,17.32,0.42,1.34,52.2,13.85,84,203.8,10.6,12.9,15.7,9.2,8.4,22,22.5,23.3,33.7,25.1,14.7,10,208.2,35.55,1.99,15.96,17.7,26.93,0.72,4.88,30.42,0.07,12.88,1.51,1.35,3.04,57.25,4.1,4.46,91.44,0.1,555.61,58.7
s1792,15.8,21,7,17,3.7,7,0.626,0,189.1,131.01,127.96,22.52,22.6,28.65,0.041,28.6,16.59,0.089,16.8,72,72,1152.3,0,0.311,5.95,6.02,8.79,6.19,11.23,19.29,17.8,17.99,16.78,9.33,6.5,5.02,16.85,17.67,19.83,21.99,24.59,26.54,27.33,27.52,26.78,24.18,20.65,17.65,1.67,1.56,49.8,14.51,202.1,255.6,11.1,11.5,16.7,9.8,9.7,18.4,17.8,20.3,28.6,26.6,14.8,10.4,195.6,2.84,0.02,75.22,0.38,2.03,0.01,73.09,0.55,0.08,10.8,1.52,0.69,0.86,57.74,4.94,4.49,90.57,0.1,564.25,100
s1829,19.1,27,8,19,3.9,8,0.584,0,212.3,129.32,129.28,22.55,22.6,29.05,0.069,29,16.34,0.092,16.3,71.4,72,1156.5,0,0.34,5.93,6.39,8.1,5.47,9.88,20.51,19.02,19.04,17.04,7.6,5.5,4.85,16.8,17.68,19.89,22.18,24.82,26.78,27.5,27.65,26.91,24.14,20.35,17.56,1.19,1.4,43.7,15.05,433,229.6,11.5,13.2,17.1,9.6,9,22.7,24.4,25.8,35.6,27.4,15.5,10.9,222.8,1.07,0.04,59.88,0.27,2.34,0.02,68.7,0.09,0.1,10.75,1.46,3.87,0.76,58.03,5.63,4.91,89.47,0.1,563.77,96.3
s1842,32.7,48,15,33,4.6,16,0.536,0.2,175.2,135.31,135.12,22.5,22.5,28.67,0.041,28.8,16.22,0.032,16.3,71.3,72,1160.5,0,0.337,6.44,6.91,8.59,5.34,8.72,21,20.7,20.61,18.64,6.84,5.5,6.03,16.3,17.23,19.56,22,24.77,26.88,27.54,27.69,26.88,23.77,19.83,16.94,0.64,1.23,30.2,13.98,97.8,374.4,16,17.3,23.7,14,10,21,28,38.7,49.6,28.6,18.5,15.6,281.1,1.47,1.41,31.97,1.51,0.62,1.16,22.96,0.44,0.07,11.94,1.53,0.27,1.64,58.7,2.34,4.78,92.88,0.1,559.73,99.3
s1857,37.2,55,16,37,7,17,0.543,0.3,195.2,131.86,132.3,22.5,22.4,28.58,0.054,28.7,16.31,0.11,16.2,72,72,1161.3,0,0.317,6.63,7.08,8.61,5.68,9.39,19.6,19.79,19.33,17.47,6.84,5.62,5.82,16.21,17.17,19.56,22.03,24.83,26.95,27.6,27.75,26.89,23.69,19.73,16.82,0.42,1.99,41.6,13.77,74.6,282.2,14.2,16.6,23.5,14,11.6,18.3,23.7,26.8,37.1,21.5,14.5,13.2,234.9,3.61,0,6.06,9.78,3.47,0,2.55,4.8,0.08,11.81,1.45,2.72,1.88,58.37,11.85,6.42,81.73,0.12,539.55,100
s1863,46,66,34,46,6.3,34,0.376,0.3,17,131.51,131.88,22.46,22.4,28.36,0.022,28.4,16.46,0.062,16.4,72,72,1162.3,0,0.291,7.19,7.38,9.06,5.67,9.48,18.89,18.89,18.9,17.39,6.49,5.99,6.18,16.01,17.06,19.46,21.98,24.89,27.03,27.68,27.79,26.9,23.63,19.69,16.69,0.75,1.59,38.3,12.77,176.7,134.7,14,16.4,26.4,16,14,17,20,22.4,30.5,17.4,12.3,13.2,219.3,65.24,0.06,6.2,0.29,45.4,0.13,7.32,0.55,0.06,12.22,1.55,0.55,3.83,59.62,4.93,4.48,90.59,0.1,519.25,100
s1867,32.1,75,11,30,10.2,11,0.329,0.5,271.9,133.65,133.73,22.27,22.1,28.31,0.088,28.1,16.2,0.185,15.8,72,72,1151.1,0,0.282,7.68,7.68,9.32,5.76,9.19,19.11,18.9,19.05,17.98,6.54,5.99,6.45,15.84,16.87,19.32,21.88,24.75,26.92,27.58,27.69,26.79,23.49,19.47,16.49,0.5,1.59,39.4,14.04,262.8,132.5,16.2,20.3,29,16.8,14.3,18.2,21.2,27.3,36.6,20.9,14.3,15,250.2,30.48,3.03,23.7,1.01,20.77,2.75,20.37,1.36,0.09,10.49,1.5,2.21,1.81,58.9,7.64,5.58,86.78,0.1,520.86,100
s1870,28.4,75,6,28,10.8,9,0.325,0.4,259.6,133.59,132.68,22.25,22.2,28.33,0.121,28.4,16.15,0.188,16.4,72.1,73,1149.2,0,0.282,7.7,7.7,9.28,5.75,8.98,19.13,18.87,19.16,18.01,6.56,5.93,6.51,15.9,16.88,19.33,21.87,24.74,26.9,27.56,27.67,26.81,23.52,19.51,16.54,0.56,1.7,39.5,14.07,230.6,137.7,16.6,20.9,29.4,17,14.3,18.4,21.5,29,38.5,21.9,14.9,15.4,257.6,30.56,1.97,22.9,1.19,21.4,1.71,19.37,1.61,0.09,10.54,1.51,1.81,1.75,58.72,7.51,5.53,86.96,0.1,523.05,100
s1883,11.7,20,3,12,3.8,3,0.51,0.1,244.6,130.25,131.76,22.28,22.3,28.05,0.159,27.8,16.7,0.176,16.9,73.2,74,1153.8,0,0.273,7.48,7.71,9.58,5.3,8.08,16.22,18.22,20.35,17.87,7.01,5.46,6.98,15.75,16.72,19.13,21.71,24.74,26.93,27.61,27.71,26.92,23.67,19.69,16.56,0.31,1.22,32.9,14.72,158.2,344.3,15.7,20,29.3,15.9,12.2,15.2,17.7,28.1,38.1,22.4,14.5,16.4,245.5,23.41,8.89,13.99,6.95,15.6,13.09,7.89,6.26,0.09,12.2,1.46,3.87,1.5,57.24,3.9,4.3,91.8,0.1,550.36,60.4
s1897,35.8,56,25,36,4.5,25,0.349,0.1,305.2,129.78,133.21,22.29,22.1,28.29,0.078,28.2,16.33,0.045,16.2,72.3,72,1153.8,0,0.284,7.04,7.21,8.89,5.54,9.67,18.68,18.08,18.27,17.21,6.38,6.43,6.36,15.76,16.85,19.3,21.94,24.87,26.99,27.69,27.77,26.86,23.57,19.54,16.49,0.48,1.53,46.1,15.07,355,84.6,13.4,17.5,26.3,15,12.7,15,17.4,22.2,30.1,17.9,13.1,13.9,214.5,4.55,2.59,26.16,1.07,4.23,0.79,28.58,0.32,0.11,10.37,1.39,8.41,0.9,59.07,8.28,5.54,86.18,0.1,515.77,100
s1907,23.1,56,12,23,6.3,12,0.252,0.6,248.2,128.78,130.99,21.59,21.5,27.9,0.126,28,15.56,0.306,15.7,72,72,1117.2,0,0.232,8.65,7.7,10.14,6.2,9.68,17.95,16.58,17.15,15.47,6.56,6.07,6.64,14.76,15.96,18.6,21.35,24.55,26.8,27.54,27.55,26.51,22.93,18.63,15.48,0.07,1.25,68.8,14.34,219.8,70.9,17.2,23.9,31.6,20.3,14.9,17.9,18.7,20.7,24.8,15.4,10.4,12.9,228.8,21.08,5.89,30.55,2.34,3.72,3.41,12.32,10.22,0.09,10.82,1.49,3.63,3.36,58.23,8.55,5.76,85.69,0.1,502.22,99.9
s1915,40.8,62,29,38,6.5,29,0.358,0,133.2,130.31,131.39,19.31,19.5,26.38,0.224,26.7,12.6,0.206,12.9,72,72,1015.5,0,0.121,11.77,9.6,11.71,8.18,8.39,14.51,16.62,15.84,10.94,7.51,6.93,8.3,10.73,12.41,15.86,19.31,23.08,26.09,27.32,27.04,25.13,20.15,15.32,11.55,0.31,1.58,33.5,14.92,643.2,261,35.2,44.3,49.3,35.2,22.7,17.8,17,16.9,16.4,11.1,11.2,19.3,296.2,3.36,25.99,1.08,0.18,1.92,15.79,0.32,0.25,0.11,7.57,1.44,5.16,0.67,60,10.51,10.95,78.54,0.11,417.46,60.3
s1924,81.5,147,27,79,21.8,28,0.454,1.1,146.1,128.5,137.38,18.98,19.3,25.84,0.384,26.5,12.59,0.143,13,73.9,73,1005.8,0,0.056,14.02,11.34,13.3,9,8.35,12.52,13.62,12.23,9.69,6.68,8.16,9.58,10.31,11.89,15.37,19.11,23.01,26.08,27.22,26.96,24.92,19.84,14.82,11.03,0.86,1.53,42.1,13.06,162.3,336.7,42.5,56.5,61.8,44.4,27.3,18.4,14.6,11.3,9.9,8.4,9.6,18.8,323.4,8.16,30.37,38.38,0.69,4.52,34.03,17.67,1.79,0.1,4.56,1.56,0.67,3,60,21.78,16.67,61.55,0.12,415,100
s1971,329.8,377,286,329,21,288,0.482,5.6,269.7,140.17,139.94,14.99,15,21.6,0.151,21.9,9.02,0.109,9.2,68.1,68,824.2,4,0.084,14.97,12.68,15.53,10.97,11.33,10,10.92,10.86,10.77,9.59,10.9,11.67,4.9,6.54,10.63,15.28,19.61,23.5,25.23,24.78,21.67,15.8,10.46,6.11,0.75,1.42,56.9,12.29,100.8,609,83.8,93.6,102.8,79.3,50.7,30.7,20.6,13.8,11.1,12.8,26.5,52.4,578.2,53.55,38.08,2.27,0.34,41.65,47.5,3.79,1.25,0.14,1.67,1.38,0.28,5.83,58.7,35.11,29.99,34.9,0.27,287.22,100
